Origin;Long;Lat;Destination;Long;Lat;Amount
PL51;14.97733618;51.01236322;F1;4.2514629;51.5079345;276411.816
SI03;14.20030982;45.7636759;F6;11.9970251;45.6128943;24242.129
SI04;14.4163091;46.20592482;F6;11.9970251;45.6128943;14898.438
UKE1;-0.871739522;53.58235964;F1;4.2514629;51.5079345;14876.483
UKE3;-1.272554297;53.36402508;F1;4.2514629;51.5079345;6716.446
UKE4;-1.562655736;53.64541457;F1;4.2514629;51.5079345;3739.632
UKF1;-1.346924284;52.95743923;F1;4.2514629;51.5079345;30987.209
UKF2;-1.540686882;52.66632219;F1;4.2514629;51.5079345;27312.676
UKF3;-0.685027336;52.96402614;F1;4.2514629;51.5079345;32696.436
UKG1;-2.912422854;52.12388049;F1;4.2514629;51.5079345;49049.431
UKH1;-0.400439137;52.28198145;F1;4.2514629;51.5079345;19182.905
UKH2;-0.64371458;52.06075158;F1;4.2514629;51.5079345;18374.262
UKH3;-0.002124595;51.70034209;F1;4.2514629;51.5079345;22426.801
UKJ1;-1.637675655;51.56657059;F1;4.2514629;51.5079345;28538.857
UKJ3;-1.552833551;51.12083984;F1;4.2514629;51.5079345;19593.981
UKJ4;0.207171267;51.41015133;F1;4.2514629;51.5079345;17688.708
UKK1;-2.967920177;51.29791224;F1;4.2514629;51.5079345;59194.885
UKK2;-3.296511142;51.02351124;F1;4.2514629;51.5079345;45909.493
UKK3;-4.993901438;50.24639409;F1;4.2514629;51.5079345;27307.205
UKK4;-4.235682548;50.58187356;F1;4.2514629;51.5079345;19098.411
UKL2;-3.103657487;52.26667728;F1;4.2514629;51.5079345;16184.511
F1;4.2514629;51.5079345;TPA1;4.987873;51.115999;1806000
F2;4.1610455;49.350418;TPA1;4.987873;51.115999;1806000
F6;11.9970251;45.6128943;TPA1;4.987873;51.115999;624458.3333
TPA1;4.987873;51.115999;PET3;4.96226;51.14385;390000
TPA1;4.987873;51.115999;PET4;4.47773;51.92442;430268
TPA1;4.987873;51.115999;PET5;11.98515;51.39007;94807
